author_id,category_id
602,2
603,3
604,3
605,3
606,3
607,9
608,7
609,9
610,9
611,9
612,4
613,4
614,4
615,1
616,7
617,7
618,7
619,9
620,9
621,6
622,2
623,1
624,1
625,1
626,1
627,1
628,1
629,9
630,9
631,10
632,6
633,2
634,4
635,4
636,6
637,6
638,6
639,6
640,1
641,1
642,1
643,1
644,1
645,1
646,1
647,1
648,1
649,5
650,1
651,1
652,1
653,1
654,1
655,1
656,1
657,1
658,5
659,4
660,4
661,4
662,4
663,4
664,4
665,4
666,1
667,1
668,1
669,6
670,5
671,5
672,5
673,4
674,4
675,4
676,4
677,4
678,4
679,4
680,1
681,1
682,9
683,9
684,9
685,9
686,1
687,1
688,11
689,11
690,11
691,11
692,11
693,1
694,1
695,1
696,1
697,1
698,1
699,9
700,6
701,1
702,1
703,1
704,9
705,9
706,5
707,5
708,5
709,2
710,10
711,10
712,10
713,10
714,10
715,6
716,6
717,1
718,1
719,1
720,4
721,4
722,4
723,4
724,6
725,6
726,6
727,9
728,9
729,9
730,9
731,9
732,9
733,10
734,10
735,4
736,4
737,4
738,10
739,10
740,6
741,6
742,6
743,6
744,9
745,9
746,6
747,6
748,6
749,9
750,3
751,3
752,3
753,3
754,2
755,1
756,1
757,5
758,5
759,5
760,2
761,3
762,3
763,7
764,3
765,3
766,3
767,6
768,7
769,5
770,3
771,4
772,1
773,1
774,1
775,1
776,1
777,1
778,1
779,1
780,1
781,2
782,2
783,2
784,1
785,1
786,1
787,1
788,2
789,4
790,5
791,5
792,5
793,10
794,10
795,6
796,6
797,4
798,4
799,4
800,4
801,5
802,5
803,3
804,3
805,3
806,3
807,5
808,5
809,5
810,2
811,2
812,2
813,2
814,2
815,3
816,3
817,7
818,9
819,9
820,10
821,10
822,10
823,10
824,10
825,10
826,2
827,2
828,9
829,9
830,2
831,10
832,9
833,2
834,2
835,7
836,6
837,6
838,6
839,2
819,2
840,1
841,1
842,1
843,1
844,1
845,1
846,1
847,1
848,1
849,1
850,1
851,1
852,4
853,4
854,4
855,4
856,6
857,6
858,6
859,1
860,1
861,5
862,2
863,2
864,2
865,9
866,7
867,7
868,10
869,15
870,7
871,7
872,3
873,6
874,7
875,7
876,7
877,7
878,2
879,7
880,7
881,10
882,10
883,10
884,11
885,4
886,4
887,4
888,4
889,4
890,4
891,14
892,9
893,9
894,9
895,9
896,15
897,3
898,3
899,14
900,3
901,3
902,3
903,1
904,15
905,15
906,15
907,3
908,3
909,3
910,16
911,16
912,3
913,3
914,3
915,3
916,2
917,2
918,3
919,3
920,1
921,1
922,1
923,10
924,10
925,10
926,14
927,4
928,4
929,4
930,2
931,2
932,4
933,2
934,1
935,4
936,5
937,5
938,4
939,4
940,6
941,6
942,2
943,2
944,15
