"ISBN","PubDate","PrintYear","Price","Discipline","Title","Subtitle","AuthorFirst1","AuthorLast1","AuthorAffiliation1","AuthorFirst2","AuthorLast2","AuthorAffiliation2","AuthorFirst3","AuthorLast3","AuthorAffiliation3","AuthorFirst4","AuthorLast4","AuthorAffiliation4","AuthorFirst5","AuthorLast5","AuthorAffiliation5","AuthorEditor","Imprint","Edition","Cover","Pages","Illustrations","Series","Volume","AuthorURL1","Description","TOC","Reviews","Classification","AuthorCountry"
"0387405569",2004-01-08,"2004",49.95,"Physics","Principles of Vibration and Sound",,"Thomas D.","Rossing","Northern Illinois University, De Kalb, IL","Neville H","Fletcher","Australian National University, Canberra, ACT, Australia",,,,,,,,,,"A",,"02","HC","330","140",,,,"This book discusses the physics of mechanical vibrating systems, emphasizing normal modes of vibration. Beginning with the basics of free and forced motions of a simple harmonic oscillator (with electrical analogs indicated where appropriate), it goes on ","Vibrating Systems: Free and Forced Vibrations of Simple Systems. Continuous Systems in One Dimension: Strings and Bars. Two-Dimensional Systems: Membranes and Plates. Coupled Vibrating Systems. Nonlinear Systems.- Sound Waves: Sound Waves in Air. Sound Ra",,"B","France"
"3211404457",2004-01-08,"2004",49.95,"Chemistry","Chemical Leasing","An intelligent and Integrated Business Model with a View Sustainable Development in Materials Management","Thomas","Jakl","BM für Land- und Forstwirtschaft, Umwelt und Wasserwirtschaft, Wien, Austria","Reinhard","Joas","BiPRO GmbH, München, Germany","Rainer","Nolte","ECOTEC, München, Germany","Rudolf","Schott","AFC Aforma Consult Unternehmensberatung GmbH, Wien, Austria","Andreas","Windsperger","Institut für Industrielle Ökologie, St. Pölten, Austria","A",,,"SC","150","44",,,,"Chemical leasing represents an innovative business model, in which chemicals are no longer simply sold to the customer to render a specific service, but made available and maintained. This way, the economic interest no longer lies in selling the chemical ","'Chemical Leasing' ? View to a Sustainable Chemicals Policy (Thomas Jakl).- The six key questions on chemical leasing ? An overview (Rainer F. Nolte).- What is chemical leasing? (Reinhard Joas, Rudolf Schott).- The variants of chemical leasing (Andreas Wi",,"C","England"
"159059293X",2004-01-08,"2004",49.99,"Computer Science","Beginning SQL Server 2000 DBA: From Novice to Professional ","From Novice to Professional","Tony","Bain",,"Baya","Pavliashvili",,"Joseph","Sack",,"Michael","Benkovich",,"Brian","Freeman",,"A","Apress",,"SC","696",,,,,"SQL Server 2000 is the leading relational database in the Windows market. The increased manageability of SQL Server 2000 has ""lowered the bar"" with regard to the people that can use it – anyone can use a SQL Server database. However, this book recognizes ","Being a DBA; SQL Server Installation; Creating a Database; DML and Querying; Basic Management Tasks; Security; Networking; Backup and Recovery; Replication; Development with T-SQL; Data Warehousing and Analysis; Data Transformation Services; Monitor, Prof",,"A","India"
"038720329X",2004-01-08,"2004",59.95,"Statistics","Probability Matching Priors: Higher Order Asymptotics",,"Gauri S.","Datta","University of Georgia, Athens, GA","Rahul","Mukerjee","Indian Institute of Management",,,,,,,,,,"A",,,"SC","127",,"Lecture Notes in Statistics","000178",,"Probability matching priors, ensuring frequentist validity of posterior credible sets up to the desired order of asymptotics, are of substantial current interest. They can form the basis of an objective Bayesian analysis. In addition, they provide a route","Introduction and the Shrinkage Argument * Matching Priors for&nbsp;Posterior Quantiles&nbsp;* Matching Priors for Distribution Functions * Matching Priors for Highest Posterior Density Regions * Matching Priors for Other Credible Regions * Matching Priors",,"C","USA"
"038795273X",2004-01-08,"2004",59.95,"Computer Science","Guide to Elliptic Curve Cryptography",,"Darrel","Hankerson","Auburn University, Alabama","Alfred J.","Menezes","University of Waterloo, ON, Canada","Scott","Vanstone","University of Waterloo, ON, Canada",,,,,,,"A",,,"HC","311","37","Springer Professional Computing",,,"After two decades of research and development, elliptic curve cryptography now has widespread exposure and acceptance.  Industry, banking, and government standards are in place to facilitate extensive deployment of this efficient public-key mechanism.  

","* Introduction and overview * Finite field arithmetic * Elliptic curve arithmetic * Cryptographic protocols * Implementation issues * Parameter generation * Appendixes: Sample parameters; ECC standards; Software tools * Index",,"A","China"
"0387001352",2004-01-08,"2004",59.95,"Statistics","Design and Analysis of DNA Microarray Investigations",,"Richard M.","Simon","National Cancer Institute, Bethesda, MD","Edward L.","Korn","National Cancer Institute, Bethesda, MD","Lisa M.","McShane","National Cancer Institute, Bethesda, MD","Michael D.","Radmacher","National Cancer Institute, Bethesda, MD","George W.","Wright","National Cancer Institute, Bethesda, MD","A",,,"HC","199","30","Statistics for Biology and Health",,,"This book discusses the analysis of gene expression profile data from DNA micorarray studies and the design of such studies. The book will address design and analysis issues for both of the major classes of DNA microarrays, the cDNA microarrays and the ol","Introduction * DNA Microarray Technology * Design of DNA Microarray Experiments * Image Analysis * Quality Control * Array Normalization * Class Comparison * Class Prediction * Class Discovery",,"A","Ghana"
"3211407561",2004-01-08,"2004",69.95,"Computer Science","Planning Based on Decision Theory",,"Giacomo","Della Riccia","University of Udine, Italy","Rudolf","Kruse","University of Magdeburg, Germany","Didier","Dubois","University of Toulouse, France","Hans-J.","Lenz",,,,,"E",,,"SC","165","39","CISM International Centre for Mechanical Sciences","000472",,"Planning of actions based on decision theory is a hot topic for many disciplines. Seemingly unlimited computing power, networking, integration and collaboration have meanwhile attracted the attention of fields like Machine Learning, Operations Research, M","Preface.- Session I - Decision Theory: Qualitative Decision Rules Under Uncertainty (D. Dubois, H. Fargier); Sequential Decision-Making in Heuristic Search (E. Hüllermeier); Identification of non-additive measures from sample data (P. Miranda, M. Grabisch",,"C","France"
"0387403493",2004-01-08,"2004",69.95,"Mathematics","The Theory of Chaotic Attractors",,"Brian R.","Hunt","University of Maryland, College Park, MD","Judy A.","Kennedy","University of Delaware, Newark, DE","Tien-Yien","Li","Michigan State University, East Lansing, MI","Helena E.","Nusse","University of Groningen, The Netherlands",,,,"E",,,"HC","514",,,,,"This volume contains a selection of the most important papers in the theory of chaotic attractors over the past 40 years. It is dedicated to James Yorke - a pioneer in the field and a recipient of the 2003 Japan prize - on the occasion of his 60th birthda","Contents: Preface.-Introduction.- E.N. Lorenz, Deterministic nonperiodic flow.- K. Krzyzewski and W. Szlenk, On invariant measures for expanding differentiable mappings.- A. Lasota and J.A. Yorke, On the existence of invariant measures for piecewise monot",,"B","England"
"0387004440",2004-01-08,"2004",69.95,"Mathematics","An Introduction to Partial Differential Equations",,"Michael","Renardy","Virginia Polytechnic Institute and State University, Blacksburg, VA","Robert C.","Rogers","Virginia Polytechnic Institute and State University, Blacksburg, VA",,,,,,,,,,"A",,"02","HC","434","21","Texts in Applied Mathematics","000013",,"Partial differential equations are fundamental to the modeling of natural phenomena; they arise in every field of science. Consequently, the desire to understand the solutions of these equations has always had a prominent place in the efforts of mathemati","Introduction* Characteristics* Conservation Laws and Shocks* Maximum Principles* Distributions* Function Spaces* Sobolev Spaces * Operator Theory * Linear Elliptic Equations * Nonlinear Elliptic Equations * Energy Methods for Evolution Problems * Semigrou",,"A","India"
"0387404147",2004-01-08,"2004",69.95,"Medicine","Consumer Informatics","Applications and Strategies in Cyber Health Care","Rosemary","Nelson","MDM Strategies, Merritt Island, FL","Marion J.","Ball","Healthlink Inc., Baltimore, MD",,,,,,,,,,"E",,,"HC","166","23","Health Informatics",,,"This comprehensive volume explores the evolving fields of consumer informatics and telemedicine as envisioned by the Institute of Medicine in its landmark reports on the electronic medical record, patient safety, and quality care. Each chapter describes t","1. The Collaborative Edge: Population Management and Patient Empowerment for Vulnerable Populations * 2. Patient-Centered Communication * 3. Supporting Patients as Co-Producers of Quality * 4. A Clinic in Every Home * 5. Secure Computerized Patient Record",,"A","USA"
"4431401997",2004-01-08,"2004",79.00,"Medicine","Stem Cell and Liver Regeneration",,"K.","Okita","Yamaguchi University School of Medicine, Yamaguchi, Japan",,,,,,,,,,,,,"E",,,"HC","87","29",,,,"Cellular therapy with liver stem cells and their progeny, including bone marrow cells, is a promising new approach that will contribute significantly to the treatment of liver diseases. The existence of the liver stem cell had long been debated, but it no",,,"C","China"
"1852337281",2004-01-08,"2004",79.95,"Computer Science","Inhabited Information Spaces","Living with your Data","David N.","Snowdon","Xerox Research Centre Europe, Maylan, France","Elizabeth F.","Churchill","FX Palo Alto Laboratory Inc., Palo Alto, CA","Emmanuel","FrΘcon","Swedish Institute for Computer Science, Kista, Sweden",,,,,,,"E",,,"SC","329",,"Computer Supported Cooperative Work",,,"In an era when increasing numbers of people are conducting research and interacting with one another through the internet, the study of ?Inhabited Information Spaces? is aimed at encouraging a more fruitful exchange between the users, and the digital data","Foreword by Jakub Wejchert Part 1: Introduction · Inhabited Information Spaces: An Introduction Part 2: Pure Virtual Environments · WWW3D and the Web Planetarium · PlaceWorld, and the Evolution of Electronic Landscapes · Using a Pond Metaphor for Informat",,"C","Ghana"
"0387204296",2004-01-08,"2004",79.95,"Mathematics","Berkeley Problems in Mathematics",,"Paulo N. de","Souza","University of California, Berkeley, CA","Jorge-Nuno","Silva","University of Lisbon, Portugal, Department of Mathematics",,,,,,,,,,"A",,"03","HC","587",,"Problem Books in Mathematics",,,"In 1977 the Mathematics Department at the University of California, Berkeley, instituted a written examination as one of the first major requirements toward the Ph.D. degree in Mathematics. Its purpose was to determine whether first-year students in the P","Preface.- Problems.- Real Analysis.- Multivariable Calculus.- Differential Equations.- Metric Spaces.- Complex Analysis.- Algebra.- Linear Algebra.- Solutions.- Real Analysis.- Multivariable Calculus.- Differential Equations.- Metric Spaces.- Complex Anal",,"A","France"
"3211005382",2004-01-08,"2004",79.95,"Engineering","Cardiovascular Fluid Mechanics",,"Gianni","Pedrizzetti","University of Trieste, Italy","Karl","Perktold","Graz University of Technology, Graz, Austria",,,,,,,,,,"E",,,"SC","271","111","CISM International Centre for Mechanical Sciences","000446",,"The book presents the state-of-the-art in the interdisciplinary field of fluid mechanics applied to cardiovascular modelling. It is neighter a monograph nor a collection of research papers, rather an extended review in the field. It is arranged in 4 scien","Preface.- Arterial and Venous Fluid Dynamics (T. J. Pedley).- Computational Models of Arterial Flow and Mass Transport (K. Perktold, M. Prosi).- Finite Difference and Finite Volume Techniques for the Solution of Navier-Stokes Equations in Cardiovascular F",,"C","England"
"0387403973",2004-01-08,"2004",79.95,"Mathematics","Integers, Polynomials, and Rings",,"Ronald S.","Irving","University of Washington, College of Arts and Sciences",,,,,,,,,,,,,"A",,,"HC","284","3","Undergraduate Texts in Mathematics",,,"Mathematics is often regarded as the study of calculation, but in fact, mathematics is much more. It combines creativity and logic in order to arrive at abstract truths. This book is intended to illustrate how calculation, creativity, and logic can be com","Introduction: The McNugget Problem&nbsp;* Induction and the Division Theorem * The Euclidean Algorithm * Congruences * Prime Numbers * Rings * Euler's Theorem * Binomial Coefficients * Polynomials and Roots * Polynomials with Real Coefficients * Polynomia",,"A","India"
"038700887X",2004-01-08,"2004",89.95,"Physics","Fundamentals of Applied Dynamics",,"Roberto A.","Tenenbaum","COPPE, University of Rio de Janeiro, Rio de Janeiro, Brazil",,,,,,,,,,,,,"A",,,"HC","713","568","Advanced Texts in Physics",,,"A translation of the highly acclaimed text by Roberto Tenenbaum (originally published in Portuguese). Tenenbaum's DYNAMICS covers the full range of topics included in a complete basic course designed for undergraduate students in engineering. Requiring no","Introduction.- Vectors and Moments.- Kinematics.- Dynamics of Particles.- Dynamics of Systems.- Inertia.- Rigid Body Dynamics.- Advanced Topics in Rigid Body Dynamics.- Appendix A: Linear Algebra.- Appendix B: Linkages.- Appendix C: Properties of Inertia.",,"A","USA"
"0387404619",2004-01-08,"2004",98.00,"Economics & Law","Dynamic Modeling for Business Management","An Introduction","Bernard","McGarvey","Eli Lilly and Company, Indianapolis, IN","Bruce","Hannon","University of Illinois, Urbana, IL",,,,,,,,,,"A",,,"HC","314","168","Modeling Dynamic Systems",,,"Modeling is a tool used by savvy business managers to understand the processes of their business and to estimate the impact of changes. Dynamic Modeling for Business Management applies dynamic modeling to business management, using accessible modeling tec","Introduction to ithink * Modeling Dynamic Business Systems * Measuring Process Performance * Single Step Processes * Multi-step Serial Workflow Processes * Multi-step Parallel Workflow Processes * The Supplier Interface: Managing Risk * Customer Interface",,"A","China"
"0387204504",2004-01-08,"2004",99.00,"Mathematics","Optimization Methods in Electromagnetic Radiation",,"Thomas S.","Angell","University of Delaware, Newark, DE","Andreas","Kirsch","University of Karlsruhe, Karlsruhe, Germany",,,,,,,,,,"A",,,"HC","331","92","Springer Monographs in Mathematics",,,"This book considers problems of optimization arising in the design of electromagnetic radiators and receivers. The authors develop a systematic general theory that can be applied to a wide class of structures. The theory is illustrated with familiar, simp","Arrays of Point and Line Sources, and Optimization * Discussion of Maxwell's Equations * Optimization Theory for Antennas * The Synthesis Problem * Boundary Value Problems for the Two-Dimensional Helmholtz Equation * Boundary Value Problems for Maxwell's ",,"B","Ghana"
"0387406557",2004-01-08,"2004",99.00,"Mathematics","Number Theory","New York Seminar 2003","David","Chudnovsky","Polytechnic University, Brooklyn, NY","Gregory","Chudnovsky","Polytechnic University, Brooklyn, NY","Melvyn","Nathanson","Lehman College, CUNY, Bronx, NY",,,,,,,"E",,,"HC","272","6",,,,"This volume marks the 20 anniversary of the New York Number Theory Seminar (NYNTS) and is the seventh in this series of books. For 20 years the NYNTS has tried to present the broad spectrum of number theory and related fields of mathematics, from physics ","* The spanning number and the independence number of a subset of an abelian group * A formula related to the Frobenius problem in two dimensions * One bit world * Use of Padé approximation in spline construction * Interactions between number theory and op",,"B","France"
"4431401989",2004-01-08,"2004",109.00,"Biology","Dendritic Cells in Clinics",,"M.","Onji","Ehime University School of Medicine, Ehime, Japan",,,,,,,,,,,,,"A",,,"HC","168","28",,,,"Dendritic-cell research has seen immense progress over the last decade, a period that coincides with the author’s specialization in the field. Research has shown dendritic cells to be much more than simple antigen-presenters; now, they are recognized as t","History and Concept of Dendritic Cells.- General Features of Dendritic Cells.- Interactions Between Dendritic Cells and Infectious Agents.- Dendritic Cells and Allergy.- Dendritic Cells in Autoimmunity.- Dendritic Cells in Tumor Immunology.- Dendritic Cel",,"C","England"
"0387408363",2004-01-08,"2004",119.00,"Physics","Fundamentals of Semiconductor Lasers",,"Takahiro","Numai","Ritsumeikan University, Shiga, Japan",,,,,,,,,,,,,"A",,,"HC","259","166","Springer Series in Optical Sciences","000093",,"Fundamentals of Semiconductor Lasers explains the physics and fundamental characteristics of semiconductor lasers with regard to systems applications. The detailed and comprehensive presentation is unique in that it encourages the reader to consider diffe","Preface - Band Structures, Optical Transitions, Optical Waveguides, Optical Resonators, Fundamentals of Semiconductor Lasers, Dynamic Single Mode LDs, Quantum Well LDs Control of Spontaneous Emission, Appendicies: Cyclotron Resonance&nbsp;, Time-Independe",,"B","India"
"4431012192",2004-01-08,"2004",129.00,"Medicine","New Challenges in Laparoscopic Urologic Surgery",,"E.","Higashihara","Kyorin University School of Medicine, Tokyo, Japan","S.","Naito","Kyushu University, Higashi-ku, Japan, Japan","M.","Tadashi","Kansai Medical University, Osaka, Japan",,,,,,,"E",,,"HC","179","73","Recent Advances in Endourology","000005",,"In the 5 years since the publication of Urologic Laparoscopy by the Japanese Society of Endourology and ESWL, the field has moved on apace, particularly technologically. It is with an eye on the need to disseminate the latest information on this progress ","1. Hand-Assisted Laparoscopic Radical Nephrectomy for Renal Cancer.- 2. Laparoscopic Radical Nephrectomy.- 3. Radiofrequency Treatment of Renal Tumors.- 4. Laparoscopic Partial Nephrectomy: Current Status.- 5. Laparoscopic Partial Nephrectomy for Renal Ce",,"C","USA"
"0387400966",2004-01-08,"2004",129.00,"Chemistry","Electronic Quantum-Transport in Mesoscopic Semiconductor Structures",,"Thomas","Ihn","Solid-State Physics Laboratory, ETH Zürich, Switzerland",,,,,,,,,,,,,"A",,,"HC","270","90","Springer Tracts in Modern Physics","000192","http://www.nanophys.ethz.ch/members/tihn/","This book treats three topics of electronic quantum transport in mesoscopic semiconductor structures: the conductance in strongly interacting and disordered two-dimensional systems and the metal insulator transition, electron transport through quantum dot","Part I: Introduction to Electron Transport - Electrical conductance: historical account from Ohm to the semiclassical Drude-Boltzmann theory, Towards the microscopic understanding of conductance on a quantum mechanical basis - Part II: Conductance in Stro",,"C","China"
"0387205195",2004-01-08,"2004",129.00,"Biology","Reviews of Environmental Contamination and Toxicology",,"George","Ware","University of Arizona, AZ",,,,,,,,,,,,,"E",,,"HC","244","16","Reviews of Environmental Contamination and Toxicology","000181",,"Reviews of Environmental Contamination and Toxicology attempts to provide concise, critical reviews of timely advances, philosophy, and significant areas of accomplished or needed endeavor in the total field of xenobiotics in any segment of the environmen","Understanding the Tropospheric Transport and Fate of Agricultural Pesticides.- Environmental Lead in Mexico, 1990 - 2002.- Pesticides in Uruguay.- Mercury Hazards from Gold Mining to Humans, Plants, and Animals.",,"C","Ghana"
"0387005900",2004-01-08,"2004",139.00,"Biology","Speech Processing in the Auditory System",,"Steven","Greenberg","International Computer Science Institute, Berkeley, CA","William A.","Ainsworth","Keele University, Staffordshire, UK","Arthur N.","Popper","Department of Zoology, University of Maryland, COLLEGE PARK, MD","Richard R.","Fay","Parmly Hearing Institute, Loyola University of Chicago, IL",,,,"E",,,"HC","476","100","Springer Handbook of Auditory Research","000018",,"Although speech is the primary behavioral medium by which humans communicate, its auditory basis is poorly understood, having profound implications on efforts to ameliorate the behavioral consequences of hearing impairment and on the development of robust","Preface * Speech Processing in the Auditory System: An Overview * The Analysis and Representation of Speech * Explaining the Structure of Feature and Phoneme Inventories: The Role of Auditory Distinctiveness * Physiological Representations of Speech * The",,"B","France"
"0387983147",2004-01-08,"2004",139.00,"Biology","The Vestibular System",,"Stephen M.","Highstein","Washington University, St. Louis, MO","Richard R.","Fay","Parmly Hearing Institute, Chicago, IL","Arthur N.","Popper","University of Maryland, College Park, MD",,,,,,,"E",,,"HC","560","135","Springer Handbook of Auditory Research","000019",,"About the series: The Springer Handbook of Auditory Research presents a series of synthetic reviews of fundamental topics dealing with auditory systems. Each volume is independent and authoritative; taken as a set, this series will be the definitive resou","1. Overview; 2. Development of the vestibular system; 3. The molecular biological approach to studies of the vestibular system; 4. Biomechanics of the semicircular canals and otolith organs; 5. Cellular properties of the vestibular sensory periphery; 6. M",,"B","England"
"3211004866",2004-01-08,"2004",149.00,"Economics & Law","European Tort Law 2002",,"Helmut","Koziol","European Centre of Tort and Insurance Law, Vienna, Austria","Barbara C.","Steininger","European Centre of Tort and Insurance Law, Vienna, Austria",,,,,,,,,,"E",,,"SC","700",,"Tort and Insurance Law","002002",,"The European Tort Law Yearbook provides a comprehensive overview of the latest developments in the law of torts in the EU Member States (except Luxembourg), the Czech Republic, Hungary, Poland, Slovenia and Switzerland as well as in the field of EU law. A","Essays: E-Privacy: An Old Tort in New Clothing? Tort Law and Human Rights: A New Experience.- Reports: Austria; Belgium; Czech Republic; Denmark; England and Wales; Finland; France; Germany; Greece; Hungary; Ireland; Italy; The Netherlands; Poland; Portug",,"C","USA"
"0387403264",2004-01-08,"2004",189.00,"Medicine","Pathology of Melanocytic Nevi and Malignant Melanoma",,"Michael","Piepkorn","University of Washington School of Medicine, Seattle, WA","Klaus J.","Busam","Memorial Sloan Kettering Cancer Center, New York, NY","Michael","Piepkorn","University of Washington School of Medicine, Seattle, WA",,,,,,,"E",,"02","HC","406","358",,,,"Highly acclaimed and considered the leading reference in the field, Pathology of Melanocytic Nevi and Malignant Melanoma has now been fully revised and updated to accomodate rapid advances in the field of melanoma pathology. Drs. Michael Piepkorn and Klau","Melanocytes.- Biopsies, Tissue Processing, Immunohistochemistry, and Molecular Biology Techniques.- The Molecular Biology of Melanoma.- Circumscribed Pigmented Lesions Composed of Basilar Melanocytes.- Common Acquired Melanocytic Nevi Including ""Dysplasti",,"A","China"
"1898298769",2004-01-09,"2004",119.00,"Biology","The Agroecology of Carabid Beetles",,"John M.","Holland",,,,,,,,,,,,,,"A",,,"HC","356",,,,,,,,"C","Ghana"
"0387403531",2004-01-09,"2004",125.00,"Medicine","MIS of the Hip and the Knee","A Clinical Perspective","Giles R.","Scuderi","Insall Scott Kelly Institute, New York, NY","Alfred J., Jr.","Tria","Robert Wood Johnson Medical School, New Brunswick, NJ",,,,,,,,,,"E",,,"HC","204","191",,,,"This is the first comprehensive reference on minimally invasive techniques in orthopedic surgery of the hip and knee. MIS techniques are gaining popularity worldwide because they are associated with lower morbidities and quicker recoveries than older, inv","1.Minimally Invasive Orthopedic Surgery. PART I, The Hip: 2.Minimally Invasive Total Hip Arthroplasty: The Two-Incision Approach 3.Miniincision Total Hip Arthroplasty. PART II, The Knee: 4.Miniinvasive Unicompartmental Arthroplasty: Indications and Techni",,"A","France"
